personID	start_end_frame	face_path	num
0000	4_80_256_299_302_395_1415_1435	data\ExtractedFaces\CNTVXjpDemo\Person0.jpg	4
0004	1562_1641_1760_2080_3851_3914	data\ExtractedFaces\CNTVXjpDemo\Person4.jpg	3
0005	3517_3610	data\ExtractedFaces\CNTVXjpDemo\Person6.jpg	1
0007	3691_3743	data\ExtractedFaces\CNTVXjpDemo\Person7.jpg	1
0006	3747_3792_3997_4085	data\ExtractedFaces\CNTVXjpDemo\Person8.jpg	2
