idvica_facetracking	personID	apperanceDuration	start_time	start_frame	end_frame
4	0004	4	00:01:03	1562	1641
5	0004	13	00:01:11	1760	2080
6	0004	4	00:02:21	3517	3610
10	0004	4	00:02:40	3997	4085
